bin_id,Q2_min,Q2_max,x_min,x_max,phperp_pi_min,phperp_pi_max,z_pi_min,z_pi_max
145,1.00000000,5.00000000,0.31800000,0.37300000,0.60000000,1.00000000,0.35000000,0.55000000
146,1.00000000,5.00000000,0.31800000,0.37300000,0.60000000,1.00000000,0.55000000,1.00000000
147,1.00000000,5.00000000,0.31800000,0.37300000,1.00000000,3.00000000,0.00000000,0.25000000
148,1.00000000,5.00000000,0.31800000,0.37300000,1.00000000,3.00000000,0.25000000,0.35000000
149,1.00000000,5.00000000,0.31800000,0.37300000,1.00000000,3.00000000,0.35000000,1.00000000
150,1.00000000,5.00000000,0.37300000,0.45400000,0.00000000,0.20000000,0.00000000,0.07500000
151,1.00000000,5.00000000,0.37300000,0.45400000,0.00000000,0.20000000,0.07500000,0.15000000
152,1.00000000,5.00000000,0.37300000,0.45400000,0.00000000,0.20000000,0.15000000,0.25000000
153,1.00000000,5.00000000,0.37300000,0.45400000,0.00000000,0.20000000,0.25000000,0.35000000
154,1.00000000,5.00000000,0.37300000,0.45400000,0.00000000,0.20000000,0.35000000,0.55000000
155,1.00000000,5.00000000,0.37300000,0.45400000,0.00000000,0.20000000,0.55000000,1.00000000
156,1.00000000,5.00000000,0.37300000,0.45400000,0.20000000,0.40000000,0.00000000,0.07500000
157,1.00000000,5.00000000,0.37300000,0.45400000,0.20000000,0.40000000,0.07500000,0.15000000
158,1.00000000,5.00000000,0.37300000,0.45400000,0.20000000,0.40000000,0.15000000,0.25000000
159,1.00000000,5.00000000,0.37300000,0.45400000,0.20000000,0.40000000,0.25000000,0.35000000
160,1.00000000,5.00000000,0.37300000,0.45400000,0.20000000,0.40000000,0.35000000,0.55000000
161,1.00000000,5.00000000,0.37300000,0.45400000,0.20000000,0.40000000,0.55000000,1.00000000
162,1.00000000,5.00000000,0.37300000,0.45400000,0.40000000,0.60000000,0.00000000,0.15000000
163,1.00000000,5.00000000,0.37300000,0.45400000,0.40000000,0.60000000,0.15000000,0.25000000
164,1.00000000,5.00000000,0.37300000,0.45400000,0.40000000,0.60000000,0.25000000,0.35000000
165,1.00000000,5.00000000,0.37300000,0.45400000,0.40000000,0.60000000,0.35000000,0.55000000
166,1.00000000,5.00000000,0.37300000,0.45400000,0.40000000,0.60000000,0.55000000,1.00000000
167,1.00000000,5.00000000,0.37300000,0.45400000,0.60000000,1.00000000,0.00000000,0.15000000
168,1.00000000,5.00000000,0.37300000,0.45400000,0.60000000,1.00000000,0.15000000,0.25000000
169,1.00000000,5.00000000,0.37300000,0.45400000,0.60000000,1.00000000,0.25000000,0.35000000
170,1.00000000,5.00000000,0.37300000,0.45400000,0.60000000,1.00000000,0.35000000,0.55000000
171,1.00000000,5.00000000,0.37300000,0.45400000,0.60000000,1.00000000,0.55000000,1.00000000
172,1.00000000,5.00000000,0.37300000,0.45400000,1.00000000,3.00000000,0.00000000,0.25000000
173,1.00000000,5.00000000,0.37300000,0.45400000,1.00000000,3.00000000,0.25000000,0.35000000
174,1.00000000,5.00000000,0.37300000,0.45400000,1.00000000,3.00000000,0.35000000,1.00000000
175,1.00000000,5.00000000,0.45400000,1.00000000,0.00000000,0.20000000,0.00000000,0.07500000
176,1.00000000,5.00000000,0.45400000,1.00000000,0.00000000,0.20000000,0.07500000,0.15000000
177,1.00000000,5.00000000,0.45400000,1.00000000,0.00000000,0.20000000,0.15000000,0.25000000
178,1.00000000,5.00000000,0.45400000,1.00000000,0.00000000,0.20000000,0.25000000,0.35000000
179,1.00000000,5.00000000,0.45400000,1.00000000,0.00000000,0.20000000,0.35000000,0.55000000
180,1.00000000,5.00000000,0.45400000,1.00000000,0.00000000,0.20000000,0.55000000,1.00000000
181,1.00000000,5.00000000,0.45400000,1.00000000,0.20000000,0.40000000,0.00000000,0.07500000
182,1.00000000,5.00000000,0.45400000,1.00000000,0.20000000,0.40000000,0.07500000,0.15000000
183,1.00000000,5.00000000,0.45400000,1.00000000,0.20000000,0.40000000,0.15000000,0.25000000
184,1.00000000,5.00000000,0.45400000,1.00000000,0.20000000,0.40000000,0.25000000,0.35000000
185,1.00000000,5.00000000,0.45400000,1.00000000,0.20000000,0.40000000,0.35000000,0.55000000
186,1.00000000,5.00000000,0.45400000,1.00000000,0.20000000,0.40000000,0.55000000,1.00000000
187,1.00000000,5.00000000,0.45400000,1.00000000,0.40000000,0.60000000,0.00000000,0.15000000
188,1.00000000,5.00000000,0.45400000,1.00000000,0.40000000,0.60000000,0.15000000,0.25000000
189,1.00000000,5.00000000,0.45400000,1.00000000,0.40000000,0.60000000,0.25000000,0.35000000
190,1.00000000,5.00000000,0.45400000,1.00000000,0.40000000,0.60000000,0.35000000,0.55000000
191,1.00000000,5.00000000,0.45400000,1.00000000,0.40000000,0.60000000,0.55000000,1.00000000
192,1.00000000,5.00000000,0.45400000,1.00000000,0.60000000,1.00000000,0.00000000,0.15000000
193,1.00000000,5.00000000,0.45400000,1.00000000,0.60000000,1.00000000,0.15000000,0.25000000
194,1.00000000,5.00000000,0.45400000,1.00000000,0.60000000,1.00000000,0.25000000,0.35000000
195,1.00000000,5.00000000,0.45400000,1.00000000,0.60000000,1.00000000,0.35000000,0.55000000
196,1.00000000,5.00000000,0.45400000,1.00000000,0.60000000,1.00000000,0.55000000,1.00000000
197,1.00000000,5.00000000,0.45400000,1.00000000,1.00000000,3.00000000,0.00000000,0.25000000
198,1.00000000,5.00000000,0.45400000,1.00000000,1.00000000,3.00000000,0.25000000,0.35000000
199,1.00000000,5.00000000,0.45400000,1.00000000,1.00000000,3.00000000,0.35000000,1.00000000
