bin_id,Q2_min,Q2_max,x_min,x_max,phperp_pim_min,phperp_pim_max,z_pim_min,z_pim_max
52,1.00000000,5.00000000,0.20000000,0.23600000,0.00000000,0.20000000,0.25000000,0.35000000
53,1.00000000,5.00000000,0.20000000,0.23600000,0.00000000,0.20000000,0.35000000,0.55000000
54,1.00000000,5.00000000,0.20000000,0.23600000,0.00000000,0.20000000,0.55000000,1.00000000
55,1.00000000,5.00000000,0.20000000,0.23600000,0.20000000,0.40000000,0.00000000,0.10000000
56,1.00000000,5.00000000,0.20000000,0.23600000,0.20000000,0.40000000,0.10000000,0.15000000
57,1.00000000,5.00000000,0.20000000,0.23600000,0.20000000,0.40000000,0.15000000,0.25000000
58,1.00000000,5.00000000,0.20000000,0.23600000,0.20000000,0.40000000,0.25000000,0.35000000
59,1.00000000,5.00000000,0.20000000,0.23600000,0.20000000,0.40000000,0.35000000,0.55000000
60,1.00000000,5.00000000,0.20000000,0.23600000,0.20000000,0.40000000,0.55000000,1.00000000
61,1.00000000,5.00000000,0.20000000,0.23600000,0.40000000,0.60000000,0.00000000,0.10000000
62,1.00000000,5.00000000,0.20000000,0.23600000,0.40000000,0.60000000,0.10000000,0.15000000
63,1.00000000,5.00000000,0.20000000,0.23600000,0.40000000,0.60000000,0.15000000,0.25000000
64,1.00000000,5.00000000,0.20000000,0.23600000,0.40000000,0.60000000,0.25000000,0.35000000
65,1.00000000,5.00000000,0.20000000,0.23600000,0.40000000,0.60000000,0.35000000,0.55000000
66,1.00000000,5.00000000,0.20000000,0.23600000,0.40000000,0.60000000,0.55000000,1.00000000
67,1.00000000,5.00000000,0.20000000,0.23600000,0.60000000,1.00000000,0.00000000,0.15000000
68,1.00000000,5.00000000,0.20000000,0.23600000,0.60000000,1.00000000,0.15000000,0.25000000
69,1.00000000,5.00000000,0.20000000,0.23600000,0.60000000,1.00000000,0.25000000,0.35000000
70,1.00000000,5.00000000,0.20000000,0.23600000,0.60000000,1.00000000,0.35000000,0.55000000
71,1.00000000,5.00000000,0.20000000,0.23600000,0.60000000,1.00000000,0.55000000,1.00000000
72,1.00000000,5.00000000,0.20000000,0.23600000,1.00000000,3.00000000,0.00000000,0.25000000
73,1.00000000,5.00000000,0.20000000,0.23600000,1.00000000,3.00000000,0.25000000,0.35000000
74,1.00000000,5.00000000,0.20000000,0.23600000,1.00000000,3.00000000,0.35000000,1.00000000
75,1.00000000,5.00000000,0.23600000,0.27400000,0.00000000,0.20000000,0.00000000,0.15000000
76,1.00000000,5.00000000,0.23600000,0.27400000,0.00000000,0.20000000,0.15000000,0.25000000
77,1.00000000,5.00000000,0.23600000,0.27400000,0.00000000,0.20000000,0.25000000,0.35000000
78,1.00000000,5.00000000,0.23600000,0.27400000,0.00000000,0.20000000,0.35000000,0.55000000
79,1.00000000,5.00000000,0.23600000,0.27400000,0.00000000,0.20000000,0.55000000,1.00000000
80,1.00000000,5.00000000,0.23600000,0.27400000,0.20000000,0.40000000,0.00000000,0.10000000
81,1.00000000,5.00000000,0.23600000,0.27400000,0.20000000,0.40000000,0.10000000,0.15000000
82,1.00000000,5.00000000,0.23600000,0.27400000,0.20000000,0.40000000,0.15000000,0.25000000
83,1.00000000,5.00000000,0.23600000,0.27400000,0.20000000,0.40000000,0.25000000,0.35000000
84,1.00000000,5.00000000,0.23600000,0.27400000,0.20000000,0.40000000,0.35000000,0.55000000
85,1.00000000,5.00000000,0.23600000,0.27400000,0.20000000,0.40000000,0.55000000,1.00000000
86,1.00000000,5.00000000,0.23600000,0.27400000,0.40000000,0.60000000,0.00000000,0.10000000
87,1.00000000,5.00000000,0.23600000,0.27400000,0.40000000,0.60000000,0.10000000,0.15000000
88,1.00000000,5.00000000,0.23600000,0.27400000,0.40000000,0.60000000,0.15000000,0.25000000
89,1.00000000,5.00000000,0.23600000,0.27400000,0.40000000,0.60000000,0.25000000,0.35000000
90,1.00000000,5.00000000,0.23600000,0.27400000,0.40000000,0.60000000,0.35000000,0.55000000
91,1.00000000,5.00000000,0.23600000,0.27400000,0.40000000,0.60000000,0.55000000,1.00000000
92,1.00000000,5.00000000,0.23600000,0.27400000,0.60000000,1.00000000,0.00000000,0.15000000
93,1.00000000,5.00000000,0.23600000,0.27400000,0.60000000,1.00000000,0.15000000,0.25000000
94,1.00000000,5.00000000,0.23600000,0.27400000,0.60000000,1.00000000,0.25000000,0.35000000
95,1.00000000,5.00000000,0.23600000,0.27400000,0.60000000,1.00000000,0.35000000,0.55000000
96,1.00000000,5.00000000,0.23600000,0.27400000,0.60000000,1.00000000,0.55000000,1.00000000
97,1.00000000,5.00000000,0.23600000,0.27400000,1.00000000,3.00000000,0.00000000,0.25000000
98,1.00000000,5.00000000,0.23600000,0.27400000,1.00000000,3.00000000,0.25000000,0.35000000
99,1.00000000,5.00000000,0.23600000,0.27400000,1.00000000,3.00000000,0.35000000,1.00000000
100,1.00000000,5.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.00000000,0.15000000
101,1.00000000,5.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.15000000,0.25000000
102,1.00000000,5.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.25000000,0.35000000
103,1.00000000,5.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.35000000,0.55000000
104,1.00000000,5.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.55000000,1.00000000
105,1.00000000,5.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.00000000,0.10000000
106,1.00000000,5.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.10000000,0.15000000
107,1.00000000,5.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.15000000,0.25000000
108,1.00000000,5.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.25000000,0.35000000
109,1.00000000,5.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.35000000,0.55000000
110,1.00000000,5.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.55000000,1.00000000
111,1.00000000,5.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.00000000,0.10000000
112,1.00000000,5.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.10000000,0.15000000
113,1.00000000,5.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.15000000,0.25000000
114,1.00000000,5.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.25000000,0.35000000
115,1.00000000,5.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.35000000,0.55000000
116,1.00000000,5.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.55000000,1.00000000
