Q2,W,x,y,z_km,phperp_km,aff_m_k_i_mc,aff_m_k_f_mc,aff_xi_mc,aff_x_N_mc,aff_theta_k_i_mc,aff_k_iT_mc,aff_zeta_km_mc,aff_zN_km_mc,aff_theta_H_km_mc,aff_theta_delta_kT_km_mc,aff_delta_kT_km_mc
7.8859515,3.1072154,0.4733355,0.40355578,0.18201895,0.63693935,0.29148078,0.0056,0.59778404,0.40896273,2.964095,0.35189205,0.17167488,0.17261657,-1.5529782,-2.4565609,0.43943965
3.5662985,4.4160433,0.16073544,0.5374333,0.28886095,0.66184866,0.33364826,0.0056,0.3087163,0.20943786,-2.4305089,0.40487617,0.29043272,0.2936815,0.0060180984,-1.2919286,0.27247334
4.0676594,5.2629323,0.13170014,0.7481296,0.56745064,0.9305444,0.5588539,0.0099,0.16734925,0.10414748,1.848475,0.54576796,0.5652732,0.56295776,1.1106477,1.4420478,1.1283501
3.5887475,3.2338927,0.27256748,0.31892416,0.6777044,0.29313466,0.2917533,0.0056,0.3235589,0.24445935,-0.3926289,0.12840414,0.67003703,0.6916937,1.0809509,0.3715881,0.19620445
6.5169206,3.5547884,0.35664037,0.44261938,0.3410411,0.51454455,2.0799208,0.0056,0.6188919,0.3111147,2.3525975,1.210861,0.52021456,0.33315712,1.3578471,1.9616619,1.7884455
8.08194,4.4588423,0.2984153,0.6560139,0.20226887,1.1003584,0.11126764,0.0056,0.35631156,0.23842165,-0.956577,0.26600468,0.19366987,0.19611785,-0.92354584,-0.93149394,1.1052862
5.904549,4.7866187,0.21136051,0.676677,0.22832426,0.8741125,0.46555546,0.0099,0.40877947,0.26777232,1.9157606,0.41177833,0.22389205,0.22252262,-0.16617833,0.6214793,0.50676733
12.297421,3.6189659,0.50164926,0.5937893,0.19136529,0.4147183,0.7470001,0.0099,0.70047766,0.44978073,0.750043,0.49620995,0.19170445,0.18639694,-0.66682035,-0.08449968,0.891591
6.211337,4.1317077,0.27726722,0.5426317,0.1962568,0.8735128,0.17358641,0.0056,0.47832373,0.3241211,1.6158066,0.2524614,0.17917174,0.1814763,-2.0767574,-2.2179575,0.93914646
6.601497,4.6668477,0.24004912,0.6661328,0.13692844,0.804718,0.17485298,0.0056,0.43642512,0.2890759,0.07083524,0.32508495,0.13155414,0.13280846,-2.677462,-2.4047682,0.46257412
5.5257196,3.7251277,0.2983337,0.4486473,0.14101174,0.29086673,1.1735358,0.0056,0.5252142,0.3390008,1.8035572,0.6696344,0.15384538,0.13316928,-1.0518781,1.6352262,0.43055868
7.6991334,2.8222914,0.5207709,0.3581077,0.46922404,0.18545745,0.28805,0.0056,0.6398877,0.44113523,2.6450992,0.3361259,0.44669613,0.44864568,1.4881344,1.9634334,0.6725296
11.581513,4.44025,0.3807582,0.7367745,0.19187565,0.9722766,0.9302323,0.0056,0.50999886,0.3156846,2.933702,0.75664407,0.19024505,0.18484214,1.4210589,2.2479184,1.0265787
11.653686,3.864384,0.45333093,0.6226822,0.12172972,0.53645056,0.44183314,0.0099,0.5600396,0.36734477,-1.0677053,0.32747343,0.117806494,0.11673941,1.3329959,-0.19509855,0.22122855
11.758852,2.3979266,0.7071484,0.40278465,0.27274206,0.43967342,0.33958983,0.0056,0.8968388,0.5883517,-0.45394424,0.24721344,0.25754273,0.25618765,-0.49792323,-0.48059765,0.6273515
3.1978781,5.113519,0.112341836,0.68950737,0.23103991,1.2570755,0.76533484,0.0056,0.14563082,0.08635923,1.0311745,0.6106299,0.24104908,0.22316486,-1.160816,-0.5197179,0.83025336
3.0263038,5.110299,0.107083686,0.684554,0.12286556,0.70462155,0.63073474,0.0056,0.14830723,0.088176265,-2.805768,0.6353353,0.169773,0.17011385,-1.0256506,-2.240233,0.66309386
6.434568,4.7966723,0.22528203,0.6918491,0.15900235,0.42866296,1.0690397,0.0056,0.29275593,0.183497,-0.6680789,0.6114803,0.17659031,0.15280788,0.64526004,0.035306174,1.0322899
3.1799293,4.736091,0.1285852,0.5990251,0.1605945,0.90024227,1.3125465,0.0056,0.35108158,0.18402933,0.6107114,1.1767613,0.16185775,0.1528228,-1.0337307,0.028252646,1.3437994
3.5060956,5.3068333,0.113877825,0.74576694,0.26589245,0.5162189,0.6267527,0.0056,0.14517388,0.086152285,0.026930934,0.63183784,0.2616467,0.26219457,0.5469634,0.30650985,1.3183899
6.5477176,3.056798,0.43618366,0.3636127,0.21573487,0.4479382,0.28700817,0.0056,0.5310278,0.37625915,-0.14707743,0.18208726,0.20794523,0.20618871,-1.7131808,-0.8411558,0.23782311
13.905437,3.7509942,0.5132097,0.65630895,0.13529663,0.26975876,0.77870184,0.0056,0.69504625,0.4405664,-1.8353394,0.531503,0.13299337,0.1295241,-0.2963604,-1.1864897,0.6835642
4.842198,3.501212,0.2985265,0.3928965,0.2191735,0.16070011,0.4111918,0.0056,0.55286515,0.38854674,-1.7145585,0.27995417,0.23351832,0.22996168,1.9614992,-2.4830234,0.14787686
6.8837576,4.462971,0.26556155,0.62788326,0.09805334,0.53806984,0.23983312,0.0056,0.31698686,0.21535273,-0.07038155,0.17777427,0.09070171,0.092128605,1.2459596,0.783214,0.385411
7.591985,4.128302,0.31960186,0.575393,0.17847541,0.2755977,0.5047221,0.0056,0.51796824,0.34317553,2.9715424,0.49681377,0.19335267,0.19315054,0.93695545,1.9252739,0.532069
7.212663,3.2766187,0.42257062,0.41344225,0.5678866,0.3526,0.57939786,0.0099,0.5855821,0.40210953,-3.0788333,0.40607613,0.6242708,0.6079472,0.20197201,-3.1340628,0.2916302
4.0799704,4.646708,0.16457126,0.6005118,0.30590817,0.7665519,0.5588235,0.0099,0.20504417,0.13144834,0.65831155,0.5389012,0.3021536,0.30030295,-0.89594775,-0.071986146,0.73425466
5.0599165,3.8310943,0.26833314,0.45675948,0.29763654,0.50049084,0.5398807,0.0099,0.33781826,0.22843008,1.9890957,0.488728,0.2931514,0.28979617,-0.06735403,0.88189876,0.5316442
6.706267,4.705172,0.23981312,0.6773707,0.11628985,0.4662327,0.58420855,0.0056,0.29809424,0.19023158,0.09348551,0.58854604,0.111323,0.1114225,0.5920574,0.29358825,0.95704484
